date,indicator,name,low,high,mid,unit,currency,source_name,source_url,source_grade,notes
2026-06-10,black_tungsten_concentrate_65,65%黑钨精矿,,,52.5,万元/标吨,CNY,CTIA,https://www.ctia.com.cn/news/130876.html,B,中钨在线6月10日行情
2026-06-11,black_tungsten_concentrate_55,55%黑钨精矿,52.2,52.3,52.25,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-11,black_tungsten_concentrate_65,65%黑钨精矿,52.7,52.8,52.75,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-11,domestic_apt,仲钨酸铵（APT）,,,80.0,万元/吨,CNY,CTIA,https://www.ctia.com.cn/news/130898.html,B,CTIA 6月11日行情文章
2026-06-11,domestic_tungsten_carbide_powder,国产碳化钨粉,1170,1250,1210,元/公斤,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情
2026-06-11,domestic_tungsten_powder,国产钨粉,1240,1320,1280,元/公斤,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情
2026-06-11,europe_apt,欧洲APT,2900,3180,3040,美元/吨度,USD,CTIA,https://www.ctia.com.cn/news/130898.html,B,CTIA 6月11日行情文章
2026-06-11,recycled_tungsten_carbide_powder,再生碳化钨粉,1000,1030,1015,元/公斤,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情
2026-06-11,scrap_tungsten_bar,废钨棒材,,,810,元/公斤,CNY,CTIA,https://www.ctia.com.cn/news/130898.html,B,CTIA 6月11日行情文章
2026-06-11,scrap_tungsten_drill,废钨钻头,,,760,元/公斤,CNY,CTIA,https://www.ctia.com.cn/news/130898.html,B,CTIA 6月11日行情文章
2026-06-11,white_tungsten_concentrate_55,55%白钨精矿,52.1,52.2,52.15,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-11,white_tungsten_concentrate_65,65%白钨精矿,52.6,52.7,52.65,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-12,black_tungsten_concentrate_55,55%黑钨精矿,52.2,52.3,52.25,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-12,black_tungsten_concentrate_65,65%黑钨精矿,52.7,52.8,52.75,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-12,domestic_tungsten_carbide_powder,国产碳化钨粉,1170,1250,1210,元/公斤,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情
2026-06-12,domestic_tungsten_powder,国产钨粉,1240,1320,1280,元/公斤,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情
2026-06-12,recycled_tungsten_carbide_powder,再生碳化钨粉,1000,1030,1015,元/公斤,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情
2026-06-12,white_tungsten_concentrate_30_40,30-40%白钨精矿,50.7,51.7,51.2,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-12,white_tungsten_concentrate_55,55%白钨精矿,52.1,52.2,52.15,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-12,white_tungsten_concentrate_65,65%白钨精矿,52.6,52.7,52.65,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price,B,SMM公开行情；低高价由元/标吨换算为万元/标吨
2026-06-14,black_tungsten_concentrate_65,65%黑钨精矿,,,N/A,万元/标吨,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-concentrate-price,B,2026-06-14 checked; no 2026-06-14 public quote found. Latest visible SMM quote date was 2026-06-12.
2026-06-14,domestic_apt,仲钨酸铵（APT）,,,N/A,万元/吨,CNY,CTIA same-day check,https://www.ctia.com.cn/news/130913.html,B,2026-06-14 checked; no 2026-06-14 public quote found. Latest visible CTIA market article was 2026-06-12.
2026-06-14,domestic_tungsten_carbide_powder,国产碳化钨粉,,,N/A,元/千克,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-powder-price,B,2026-06-14 checked; no 2026-06-14 public quote found. Latest visible SMM quote date was 2026-06-12.
2026-06-14,domestic_tungsten_powder,国产钨粉,,,N/A,元/千克,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-powder-price,B,2026-06-14 checked; no 2026-06-14 public quote found. Latest visible SMM quote date was 2026-06-12.
2026-06-14,recycled_tungsten_carbide_powder,再生碳化钨粉,,,N/A,元/千克,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-powder-price,B,2026-06-14 checked; no 2026-06-14 public quote found. Latest visible SMM quote date was 2026-06-12.
2026-06-14,scrap_tungsten_bar,废钨棒材,,,N/A,元/千克,CNY,CTIA same-day check,https://www.ctia.com.cn/news/130913.html,B,2026-06-14 checked; no 2026-06-14 public quote found. Latest visible CTIA market article was 2026-06-12.
2026-06-14,scrap_tungsten_drill,废钨钻头,,,N/A,元/千克,CNY,CTIA same-day check,https://www.ctia.com.cn/news/130913.html,B,2026-06-14 checked; no 2026-06-14 public quote found. Latest visible CTIA market article was 2026-06-12.
2026-06-15,black_tungsten_concentrate_55,55%黑钨精矿,52.2,52.3,52.25,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price-chart,B,SMM公开行情，2026-06-15；低高价由元/标吨换算为万元/标吨，涨跌为0
2026-06-15,black_tungsten_concentrate_65,65%黑钨精矿,52.7,52.8,52.75,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price-chart,B,SMM公开行情，2026-06-15；低高价由元/标吨换算为万元/标吨，涨跌为0
2026-06-15,domestic_apt,仲钨酸铵（APT）,,,80,万元/吨,CNY,CTIA,https://www.ctia.com.cn/news/130960.html,B,CTIA/中钨在线2026-06-15行情文章：APT暂稳运行
2026-06-15,domestic_tungsten_carbide_powder,国产碳化钨粉,1170,1250,1210,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情，2026-06-15；涨跌为0
2026-06-15,domestic_tungsten_powder,国产钨粉,1240,1320,1280,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情，2026-06-15；涨跌为0
2026-06-15,europe_apt,欧洲APT,2900,3180,3040,美元/吨度,USD,CTIA,https://www.ctia.com.cn/news/130960.html,B,CTIA/中钨在线2026-06-15行情文章
2026-06-15,recycled_tungsten_carbide_powder,再生碳化钨粉,1000,1030,1015,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM公开行情，2026-06-15；涨跌为0
2026-06-15,scrap_tungsten_bar,废钨棒材,,,780,元/千克,CNY,CTIA,https://www.ctia.com.cn/news/130960.html,B,CTIA/中钨在线2026-06-15行情文章：废钨市场情绪反复，流动性受抑
2026-06-15,scrap_tungsten_drill,废钨钻头,,,730,元/千克,CNY,CTIA,https://www.ctia.com.cn/news/130960.html,B,CTIA/中钨在线2026-06-15行情文章：废钨市场情绪反复，流动性受抑
2026-06-15,white_tungsten_concentrate_30_40,30-40%白钨精矿,50.7,51.7,51.2,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price-chart,B,SMM公开行情，2026-06-15；低高价由元/标吨换算为万元/标吨，涨跌为0
2026-06-15,white_tungsten_concentrate_55,55%白钨精矿,52.1,52.2,52.15,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price-chart,B,SMM公开行情，2026-06-15；低高价由元/标吨换算为万元/标吨，涨跌为0
2026-06-15,white_tungsten_concentrate_65,65%白钨精矿,52.6,52.7,52.65,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-concentrate-price-chart,B,SMM公开行情，2026-06-15；低高价由元/标吨换算为万元/标吨，涨跌为0
2026-06-16,black_tungsten_concentrate_55,55% black tungsten concentrate,52.2,52.3,52.25,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-16 10:59; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-16,black_tungsten_concentrate_65,65% black tungsten concentrate,52.7,52.8,52.75,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-16 10:59; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-16,domestic_apt,domestic APT,,,N/A,万元/吨,CNY,SMM same-day check,https://hq.smm.cn/tungsten/content/103956689,B,"2026-06-16 checked; SMM same-day page is visible but public price range and average are locked, so no publicly verifiable same-day value was recorded."
2026-06-16,domestic_tungsten_carbide_powder,domestic tungsten carbide powder,1170,1250,1210,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-16 11:00; change 0.
2026-06-16,domestic_tungsten_powder,domestic tungsten powder,1240,1320,1280,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-16 11:00; change 0.
2026-06-16,europe_apt,Europe APT,,,N/A,美元/吨度,USD,CTIA same-day check,https://www.ctia.com.cn/news/130960.html,B,2026-06-16 checked; no 2026-06-16 public CTIA tungsten market article was found. Latest visible CTIA tungsten market article was 2026-06-15.
2026-06-16,recycled_tungsten_carbide_powder,recycled tungsten carbide powder,1000,1030,1015,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-16 11:00; change 0.
2026-06-16,scrap_tungsten_bar,scrap tungsten bar,,,N/A,元/千克,CNY,CTIA same-day check,https://www.ctia.com.cn/news/130960.html,B,2026-06-16 checked; no 2026-06-16 public CTIA tungsten market article was found. Latest visible CTIA tungsten market article was 2026-06-15.
2026-06-16,scrap_tungsten_drill,scrap tungsten drill,,,N/A,元/千克,CNY,CTIA same-day check,https://www.ctia.com.cn/news/130960.html,B,2026-06-16 checked; no 2026-06-16 public CTIA tungsten market article was found. Latest visible CTIA tungsten market article was 2026-06-15.
2026-06-16,white_tungsten_concentrate_30_40,30-40% white tungsten concentrate,50.7,51.7,51.2,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-16 10:59; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-16,white_tungsten_concentrate_55,55% white tungsten concentrate,52.1,52.2,52.15,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-16 10:59; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-16,white_tungsten_concentrate_65,65% white tungsten concentrate,52.6,52.7,52.65,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-16 10:59; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-17,black_tungsten_concentrate_55,55% black tungsten concentrate,51.5,51.6,51.55,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-17 10:41; converted from CNY/standard ton to CNY 10k/standard ton; change -7000 CNY/standard ton.
2026-06-17,black_tungsten_concentrate_65,65% black tungsten concentrate,52.0,52.1,52.05,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-17 10:41; converted from CNY/standard ton to CNY 10k/standard ton; change -7000 CNY/standard ton.
2026-06-17,domestic_apt,domestic APT,,,N/A,万元/吨,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten,B,"2026-06-17 checked; SMM same-day tungsten page lists domestic APT with 06-17 date but public price range and average are locked, so no publicly verifiable same-day value was recorded."
2026-06-17,domestic_tungsten_carbide_powder,domestic tungsten carbide powder,1170,1250,1210,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-17 10:54; change 0.
2026-06-17,domestic_tungsten_powder,domestic tungsten powder,1240,1320,1280,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-17 10:54; change 0.
2026-06-17,europe_apt,Europe APT,,,N/A,美元/吨度,USD,CTIA same-day check,https://www.ctia.com.cn/News,B,2026-06-17 checked; no 2026-06-17 public CTIA tungsten market article was found. Latest visible CTIA tungsten market article was 2026-06-16.
2026-06-17,recycled_tungsten_carbide_powder,recycled tungsten carbide powder,1000,1030,1015,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-17; change 0.
2026-06-17,scrap_tungsten_bar,scrap tungsten bar,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten,B,"2026-06-17 checked; SMM same-day tungsten page lists scrap tungsten bar with 06-17 date but public price range and average are locked, so no publicly verifiable same-day value was recorded."
2026-06-17,scrap_tungsten_drill,scrap tungsten drill,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten,B,"2026-06-17 checked; SMM same-day tungsten page lists scrap tungsten drill with 06-17 date but public price range and average are locked, so no publicly verifiable same-day value was recorded."
2026-06-17,white_tungsten_concentrate_30_40,30-40% white tungsten concentrate,50.0,51.0,50.5,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-17 10:43; converted from CNY/standard ton to CNY 10k/standard ton; change -7000 CNY/standard ton.
2026-06-17,white_tungsten_concentrate_55,55% white tungsten concentrate,51.4,51.5,51.45,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-17 10:42; converted from CNY/standard ton to CNY 10k/standard ton; change -7000 CNY/standard ton.
2026-06-17,white_tungsten_concentrate_65,65% white tungsten concentrate,51.9,52.0,51.95,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-17 10:42; converted from CNY/standard ton to CNY 10k/standard ton; change -7000 CNY/standard ton.
2026-06-18,black_tungsten_concentrate_55,55% black tungsten concentrate,51.5,51.6,51.55,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-18 09:46; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-18,black_tungsten_concentrate_65,65% black tungsten concentrate,52.0,52.1,52.05,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-18 09:46; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-18,domestic_apt,domestic APT,,,N/A,万元/吨,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten/category/201308090018,B,"2026-06-18 checked; SMM category page updated same day but public price range and average are locked/login-only, so no publicly verifiable same-day value was recorded."
2026-06-18,domestic_tungsten_carbide_powder,domestic tungsten carbide powder,1170,1250,1210,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-18 10:10; change 0.
2026-06-18,domestic_tungsten_powder,domestic tungsten powder,1240,1320,1280,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-18 10:11; change 0.
2026-06-18,europe_apt,Europe APT,,,N/A,美元/吨度,USD,CTIA/SMM same-day check,https://www.ctia.com.cn/News,B,"2026-06-18 checked; no public 2026-06-18 CTIA tungsten market article was visible, and SMM Rotterdam APT was not updated to 2026-06-18 publicly."
2026-06-18,recycled_tungsten_carbide_powder,recycled tungsten carbide powder,1000,1030,1015,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-18; change 0.
2026-06-18,scrap_tungsten_bar,scrap tungsten bar,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten/category/202206070002,B,"2026-06-18 checked; SMM category page updated same day but public price range and average are locked/login-only, so no publicly verifiable same-day value was recorded."
2026-06-18,scrap_tungsten_drill,scrap tungsten drill,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten/category/202206070001,B,"2026-06-18 checked; SMM category page updated same day but public price range and average are locked/login-only, so no publicly verifiable same-day value was recorded."
2026-06-18,white_tungsten_concentrate_30_40,30-40% white tungsten concentrate,50.0,51.0,50.5,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-18 09:46; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-18,white_tungsten_concentrate_55,55% white tungsten concentrate,51.4,51.5,51.45,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-18 09:46; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-18,white_tungsten_concentrate_65,65% white tungsten concentrate,51.9,52.0,51.95,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-18 09:46; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-19,black_tungsten_concentrate_55,55% black tungsten concentrate,,,N/A,万元/标吨,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-ore-price,B,2026-06-19 checked; no public 2026-06-19 SMM tungsten ore quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-19,black_tungsten_concentrate_65,65% black tungsten concentrate,,,N/A,万元/标吨,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-ore-price,B,2026-06-19 checked; no public 2026-06-19 SMM tungsten ore quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-19,domestic_apt,domestic APT,,,N/A,万元/吨,CNY,SMM/CTIA same-day check,https://hq.smm.cn/tungsten/category/201308090018,B,"2026-06-19 checked; SMM domestic APT page did not expose a public same-day price, and no public 2026-06-19 CTIA tungsten market article was visible."
2026-06-19,domestic_tungsten_carbide_powder,domestic tungsten carbide powder,,,N/A,元/千克,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-powder-price,B,2026-06-19 checked; no public 2026-06-19 SMM tungsten carbide powder quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-19,domestic_tungsten_powder,domestic tungsten powder,,,N/A,元/千克,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-powder-price,B,2026-06-19 checked; no public 2026-06-19 SMM tungsten powder quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-19,europe_apt,Europe APT,,,N/A,美元/吨度,USD,CTIA same-day check,https://www.ctia.com.cn/news/tungsten-news,B,2026-06-19 checked; no public 2026-06-19 CTIA tungsten market article or same-day Europe APT public quote was visible.
2026-06-19,recycled_tungsten_carbide_powder,recycled tungsten carbide powder,,,N/A,元/千克,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-powder-price,B,2026-06-19 checked; no public 2026-06-19 SMM recycled tungsten carbide powder quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-19,scrap_tungsten_bar,scrap tungsten bar,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten/category/202206070002,B,"2026-06-19 checked; SMM scrap tungsten bar page did not expose a public same-day price, and no public 2026-06-19 CTIA scrap quote was visible."
2026-06-19,scrap_tungsten_drill,scrap tungsten drill,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten/category/202206070001,B,"2026-06-19 checked; SMM scrap tungsten drill page did not expose a public same-day price, and no public 2026-06-19 CTIA scrap quote was visible."
2026-06-19,white_tungsten_concentrate_30_40,30-40% white tungsten concentrate,,,N/A,万元/标吨,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-ore-price,B,2026-06-19 checked; no public 2026-06-19 SMM tungsten ore quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-19,white_tungsten_concentrate_55,55% white tungsten concentrate,,,N/A,万元/标吨,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-ore-price,B,2026-06-19 checked; no public 2026-06-19 SMM tungsten ore quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-19,white_tungsten_concentrate_65,65% white tungsten concentrate,,,N/A,万元/标吨,CNY,SMM same-day check,https://hq.smm.cn/h5/tungsten-ore-price,B,2026-06-19 checked; no public 2026-06-19 SMM tungsten ore quote was visible. Latest visible public quote date was 2026-06-18.
2026-06-22,black_tungsten_concentrate_55,55% black tungsten concentrate,51.5,51.6,51.55,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-22 09:57; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-22,black_tungsten_concentrate_65,65% black tungsten concentrate,52.0,52.1,52.05,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-22 09:57; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-22,domestic_apt,domestic APT,,,N/A,万元/吨,CNY,SMM/CTIA same-day check,https://hq.smm.cn/tungsten/category/201308090018,B,"2026-06-22 checked; SMM domestic APT page did not expose a public same-day price, and no public 2026-06-22 CTIA/Chinatungsten tungsten market article was visible."
2026-06-22,domestic_tungsten_carbide_powder,domestic tungsten carbide powder,1170,1250,1210,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-22 10:47; change 0.
2026-06-22,domestic_tungsten_powder,domestic tungsten powder,1240,1320,1280,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-22 10:48; change 0.
2026-06-22,europe_apt,Europe APT,,,N/A,美元/吨度,USD,CTIA/SMM same-day check,https://m.smm.cn/hq/xjs,B,"2026-06-22 checked; SMM public small-metals page showed APT CIF Rotterdam latest visible date 2026-06-18 and locked values, and no public 2026-06-22 CTIA/Chinatungsten Europe APT quote was visible."
2026-06-22,recycled_tungsten_carbide_powder,recycled tungsten carbide powder,1000,1030,1015,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-22; change 0.
2026-06-22,scrap_tungsten_bar,scrap tungsten bar,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten/category/202206070002,B,"2026-06-22 checked; SMM scrap tungsten bar page updated same day but public price range and average are locked/login-only, so no publicly verifiable same-day value was recorded."
2026-06-22,scrap_tungsten_drill,scrap tungsten drill,,,N/A,元/千克,CNY,SMM same-day locked check,https://hq.smm.cn/tungsten/category/202206070001,B,"2026-06-22 checked; SMM scrap tungsten drill page updated same day but public price range and average are locked/login-only, so no publicly verifiable same-day value was recorded."
2026-06-22,white_tungsten_concentrate_30_40,30-40% white tungsten concentrate,50.0,51.0,50.5,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-22 09:57; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-22,white_tungsten_concentrate_55,55% white tungsten concentrate,51.4,51.5,51.45,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-22 09:57; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-22,white_tungsten_concentrate_65,65% white tungsten concentrate,51.9,52.0,51.95,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-22 09:57; converted from CNY/standard ton to CNY 10k/standard ton; change 0.
2026-06-23,black_tungsten_concentrate_55,55% black tungsten concentrate,51.1,51.3,51.2,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-23 10:19; converted from 511000-513000 CNY/standard ton to CNY 10k/standard ton; change -3500 CNY/standard ton.
2026-06-23,black_tungsten_concentrate_65,65% black tungsten concentrate,51.6,51.8,51.7,万元/标吨,CNY,SMM,https://hq.smm.cn/h5/tungsten-ore-price,B,SMM public quote on 2026-06-23 10:18; converted from 516000-518000 CNY/standard ton to CNY 10k/standard ton; change -3500 CNY/standard ton.
2026-06-23,domestic_apt,domestic APT,76,78,77,万元/吨,CNY,SMM public daily note,https://hq.smm.cn/tungsten/category/201308090018,B,"SMM public daily note on 2026-06-23 says spot transactions centered around RMB 760k-780k/t; official price table fields are login-locked, so this row records only the public transaction range from the note."
2026-06-23,domestic_tungsten_carbide_powder,domestic tungsten carbide powder,1170,1230,1200,元/千克,CNY,SMM,https://hq.smm.cn/h5/tungsten-powder-price,B,SMM public quote on 2026-06-23 10:51; change -10 CNY/kg.
